id,language,question
98,Ruby,Rubyでシンボルを表す記号はどれですか？
99,Ruby,Rubyで配列の各要素に処理を適用するメソッドはどれですか？
100,Ruby,Rubyでハッシュを作成する構文はどれですか？
101,Ruby,Rubyでクラスを定義する構文はどれですか？
102,Ruby,Rubyでアクセサを自動生成するメソッドはどれですか？
103,Ruby,Rubyで文字列補間の正しい構文はどれですか？
104,Ruby,Rubyで範囲を表す演算子はどれですか？
105,Ruby,Rubyでブロックを受け取るメソッドの定義で使うキーワードはどれですか？
106,Ruby,Rubyでモジュールを定義する構文はどれですか？
107,Go,Goで変数を宣言する短縮記法はどれですか？
108,Go,Goで配列を宣言する構文はどれですか？
109,Go,Goでスライスと配列の違いとして正しいのはどれですか？
110,Go,Goで関数が複数の値を返す正しい構文はどれですか？
111,Go,Goでポインタを取得する演算子はどれですか？
112,Go,Goでgoroutineを起動するキーワードはどれですか？
113,Go,Goでチャネルを作成する関数はどれですか？
114,Go,Goで構造体を定義する構文はどれですか？
115,Go,Goでインターフェースを定義する構文はどれですか？
116,Go,Goでdeferの役割として正しいのはどれですか？
117,Java,Javaでクラスを定義する正しい構文はどれですか？
118,Java,Javaでmainメソッドの正しいシグネチャはどれですか？
119,Java,Javaで変数を宣言する正しい構文はどれですか？
120,Java,Javaで継承を表すキーワードはどれですか？
121,Java,Javaでインターフェースを実装するキーワードはどれですか？
122,Java,Javaでオーバーライドを示すアノテーションはどれですか？
123,Java,Javaでジェネリクスを使う構文はどれですか？
124,Java,Javaでラムダ式の正しい構文はどれですか？
125,Java,Javaでストリーム処理を開始するメソッドはどれですか？
126,Java,Javaで例外を投げる構文はどれですか？
127,C#,C#でnamespaceを定義する構文はどれですか？
128,C#,C#でプロパティを定義する構文はどれですか？
129,C#,UnityでMonoBehaviourを継承する理由は何ですか？
130,C#,Unityで毎フレーム呼ばれるメソッドはどれですか？
131,C#,Unityで初期化時に一度だけ呼ばれるメソッドはどれですか？
132,C#,UnityでGameObjectを取得するメソッドはどれですか？
133,C#,Unityでコンポーネントを取得するメソッドはどれですか？
134,C#,UnityでオブジェクトをInstantiateする正しい使い方はどれですか？
135,C#,UnityでCoroutineを開始するメソッドはどれですか？
136,C#,C#でnull条件演算子の構文はどれですか？
137,React,Reactでコンポーネントを定義する方法として正しいのはどれですか？
138,React,ReactでJSXを使う理由は何ですか？
139,React,Reactで状態管理を行うフックはどれですか？
140,React,Reactで副作用を扱うフックはどれですか？
141,React,ReactでPropsを受け取る正しい方法はどれですか？
142,React,ReactでイベントハンドラをBindする必要があるのはどの場合ですか？
143,React,Reactでリストをレンダリングする際に必須の属性はどれですか？
144,React,ReactでContextを作成する関数はどれですか？
145,React,Reactでメモ化されたコンポーネントを作る関数はどれですか？
146,React,ReactでRefを作成するフックはどれですか？
147,React,Reactでカスタムフックの命名規則として正しいのはどれですか？
148,React,ReactでuseEffectのクリーンアップ関数はいつ実行されますか？
149,React,Reactでパフォーマンスを測定するツールはどれですか？
150,React,Reactでエラーバウンダリはどのメソッドで実装しますか？
151,React,ReactでSuspenseの用途として正しいのはどれですか？
152,COBOL,COBOLプログラムの4つのDIVISIONの順序として正しいのはどれですか？
153,COBOL,COBOLで変数の最大桁数を指定する記号はどれですか？
154,COBOL,COBOLで処理手続きを記述するDIVISIONはどれですか？
155,COBOL,COBOLで条件分岐を行う構文はどれですか？
156,COBOL,COBOLで繰り返し処理を行う構文はどれですか？
157,COBOL,COBOLでファイルを開く動詞はどれですか？
158,COBOL,COBOLでファイルからレコードを読むコマンドはどれですか？
159,COBOL,COBOLで数値計算を行う動詞はどれですか？
160,COBOL,COBOLでプログラムを終了する動詞はどれですか？
161,COBOL,COBOLで画面に出力する動詞はどれですか？
162,VBA,VBAで定数を宣言するキーワードはどれですか？
163,VBA,VBAで関数を定義するキーワードはどれですか？
164,VBA,VBAでセル範囲を指定する方法として正しいのはどれですか？
165,VBA,VBAでセルの値を取得するプロパティはどれですか？
166,VBA,VBAで条件分岐を行う構文はどれですか？
167,VBA,VBAで繰り返し処理を行う構文として正しいのはどれですか？
168,VBA,VBAでコレクション内の各要素を処理する構文はどれですか？
169,VBA,VBAでメッセージボックスを表示する関数はどれですか？
170,VBA,VBAでエラーを無視する構文はどれですか？
171,VBA,VBAで配列を宣言する構文はどれですか？
172,C#,C#でLINQを使って配列をフィルタリングする方法はどれですか？
173,C#,UnityでRigidbodyに力を加えるメソッドはどれですか？
174,Go,Goでエラーを返す慣習的なパターンはどれですか？
175,TypeScript,TypeScriptでインターセクション型を表す記号はどれですか？
176,TypeScript,TypeScriptでtype aliasを定義するキーワードはどれですか？
177,TypeScript,TypeScriptでジェネリクスの構文はどれですか？
178,React,ReactでuseCallbackの役割は何ですか？
179,React,ReactでuseMemoの役割は何ですか？
180,React,ReactでuseReducerの役割は何ですか？
181,React,ReactでフラグメントをJSXで書く短縮記法はどれですか？
182,React,ReactでStrictModeの役割は何ですか？
183,React,ReactでPortalの用途として正しいのはどれですか？
184,React,ReactでuseLayoutEffectとuseEffectの違いは何ですか？
185,React,Reactで制御コンポーネントの説明として正しいのはどれですか？
186,React,ReactでuseImperativeHandleの用途は何ですか？
187,React,ReactでHydrationとは何ですか？
188,React,Reactでコンポーネントの表示名を設定するプロパティはどれですか？
189,React,ReactでdefaultPropsの役割は何ですか？
190,React,ReactでpropTypesの役割は何ですか？
191,React,ReactでDangerouslySetInnerHTMLを使う理由は何ですか？
192,React,ReactでConcurrent Modeの特徴は何ですか？
193,HTML,HTMLでボタンを作成するタグはどれですか？
194,HTML,HTMLでテキスト入力欄を作成するタグはどれですか？
195,HTML,HTML5のセマンティック要素でナビゲーションを示すタグはどれですか？
196,HTML,HTMLでコンテンツの主要部分を示すタグはどれですか？
197,HTML,HTMLでフッター領域を示すタグはどれですか？
198,HTML,HTMLで記事を示すセマンティックタグはどれですか？
199,HTML,HTMLでセクションを示すタグはどれですか？
200,HTML,HTMLで動画を埋め込むタグはどれですか？
201,HTML,HTMLで音声を埋め込むタグはどれですか？
202,HTML,HTMLでキャンバス描画を行うタグはどれですか？
203,CSS,CSSでFlexboxの子要素を中央揃えにするプロパティはどれですか？
204,CSS,CSSでGridレイアウトの列を定義するプロパティはどれですか？
205,CSS,CSSで要素を画面中央に配置するFlexboxの設定はどれですか？
206,CSS,CSSで疑似クラスの構文として正しいのはどれですか？
207,CSS,CSSで疑似要素の構文として正しいのはどれですか？
208,CSS,CSSで変数を定義する構文はどれですか？
209,CSS,CSSでメディアクエリの構文はどれですか？
210,CSS,CSSでtransitionの短縮記法として正しいのはどれですか？
211,CSS,CSSでtransformで回転させる関数はどれですか？
212,CSS,CSSで要素を非表示にする方法でスペースも削除するのはどれですか？
213,TypeScript,TypeScriptでenumを定義する構文はどれですか？
214,TypeScript,TypeScriptでreadonly修飾子の役割は何ですか？
215,TypeScript,TypeScriptでnever型の用途として正しいのはどれですか？
216,Java,Javaでfinalキーワードの役割として正しくないのはどれですか？
217,Java,Javaでstaticキーワードの説明として正しいのはどれですか？
218,Java,Javaでabstractクラスの説明として正しいのはどれですか？
219,Java,Javaでインターフェースのデフォルトメソッドを定義するキーワードはどれですか？
220,Java,Javaでコレクションのサイズを取得するメソッドはどれですか？
221,Ruby,Rubyで真偽値の反転を行う演算子はどれですか？
222,Ruby,Rubyでメソッド名の最後に?を付ける慣習は何を意味しますか？
223,Ruby,Rubyでメソッド名の最後に!を付ける慣習は何を意味しますか？
224,Ruby,Rubyでクラスの継承を表す記号はどれですか？
225,Ruby,Rubyでモジュールをクラスに取り込む方法はどれですか？
226,COBOL,COBOLで文字列型を定義する記号はどれですか？
227,COBOL,COBOLでファイルを閉じるコマンドはどれですか？
228,COBOL,COBOLで加算を行う動詞はどれですか？
229,COBOL,COBOLで減算を行う動詞はどれですか？
230,COBOL,COBOLで乗算を行う動詞はどれですか？
231,IQ,"次の数列で?に入る数字はどれですか？
2, 4, 8, 16, 32, ?"
232,IQ,"次の数列で?に入る数字はどれですか？
1, 1, 2, 3, 5, 8, ?"
233,IQ,"次の数列で?に入る数字はどれですか？
3, 6, 12, 24, 48, ?"
234,IQ,"次の数列で?に入る数字はどれですか？
2, 5, 10, 17, 26, ?"
235,IQ,"次の数列で?に入る数字はどれですか？
1, 4, 9, 16, 25, ?"
236,IQ,"次の数列で?に入る数字はどれですか？
100, 50, 25, 12.5, ?"
237,IQ,"次の数列で?に入る数字はどれですか？
2, 3, 5, 7, 11, ?"
238,IQ,"次の数列で?に入る数字はどれですか？
1, 8, 27, 64, 125, ?"
239,IQ,"次の数列で?に入る数字はどれですか？
10, 20, 15, 30, 25, ?"
240,IQ,"次の数列で?に入る数字はどれですか？
5, 10, 20, 40, 80, ?"
241,IQ,"次の数列で?に入る数字はどれですか？
3, 7, 15, 31, 63, ?"
242,IQ,"次の数列で?に入る数字はどれですか？
1, 3, 7, 13, 21, ?"
243,IQ,"次の数列で?に入る数字はどれですか？
0, 1, 1, 2, 4, 7, ?"
244,IQ,"次の数列で?に入る数字はどれですか？
256, 128, 64, 32, ?"
245,IQ,"次の数列で?に入る数字はどれですか？
1, 2, 4, 7, 11, 16, ?"
246,IQ,AはBより背が高く、BはCより背が高い。最も背が高いのは誰ですか？
247,IQ,すべての犬は動物である。ポチは犬である。したがってポチは？
248,IQ,赤い箱か青い箱のどちらかに宝物が入っている。赤い箱には入っていない。宝物はどこ？
249,IQ,"5人が一列に並んでいる。太郎は花子の前にいる。次郎は太郎の前にいる。最前列は誰か？
（他の情報がない場合）"
250,IQ,Aが真実を言うとき、Bは嘘をつく。今Aが「雨が降っている」と言った。Bは何と言う？
251,IQ,"3つの箱A,B,Cがある。1つだけ当たり。「Aは外れ」「Bは当たり」2つの情報のうち1つだけ真実。当たりはどれ？"
252,IQ,ある会議に10人が参加。全員が他の全員と1回ずつ握手した。握手の総数は？
253,IQ,時計が1時間に1回鳴る。12時に12回鳴る。1時に1回鳴る。24時間で合計何回鳴る？
254,IQ,5本の異なる色のペンがある。赤の左に青がある。青の左に緑がある。最も左は？
255,IQ,AまたはBが真。Aは偽。したがって？
256,IQ,3人がじゃんけんをした。必ず誰か1人が勝つ確率は？
257,IQ,すべての鳥は飛べる。ペンギンは鳥である。したがってペンギンは飛べる。この推論は？
258,IQ,AはBの2倍の年齢。10年後、AはBの1.5倍。現在Bは何歳？
259,IQ,4人が円卓に座る。太郎の対面に花子、花子の右に次郎。太郎の左は誰？
260,IQ,100mを10秒で走る人が1kmを走ると最速何秒？
261,IQ,「犬：哺乳類」の関係と同じものはどれですか？
262,IQ,「医者：病院」の関係と同じものはどれですか？
263,IQ,"次のうち仲間外れはどれですか？
リンゴ、バナナ、ニンジン、ミカン"
264,IQ,「大きい」の反対語はどれですか？
265,IQ,「海：水」の関係と同じものはどれですか？
266,IQ,次のうち「楽器」でないものはどれですか？
267,IQ,「原因：結果」の関係と同じものはどれですか？
268,IQ,「本：ページ」の関係と同じものはどれですか？
269,IQ,"次の単語の共通点は何ですか？
犬、猫、象、ライオン"
270,IQ,「親：子」の関係と同じものはどれですか？
271,IQ,"次のパターンで?に入る図形の特徴は？
○○○ △△△ □□□ ?"
272,IQ,1個、2個、3個、4個...と増えていくパターン。次は何個？
273,IQ,○→●→○→●のパターン。次は？
274,IQ,△、▽、△、▽のパターン。これは何の繰り返し？
275,IQ,1つ、2つ、4つ、8つと増えるパターン。次は？
276,IQ,○、○○、○○○のパターン。5番目は何個？
277,IQ,時計回りに90度ずつ回転するパターン。4回回転後は？
278,IQ,正方形が1段、2段、3段と積み上がる。4段目は全部で何個？
279,IQ,○●○●○のパターン。6番目は？
280,IQ,△が時計回りに45度ずつ回転。8回回転後は？
281,IQ,"次の数列で?に入る数字はどれですか？
2, 6, 12, 20, 30, ?"
282,IQ,"次の数列で?に入る数字はどれですか？
1, 4, 10, 22, 46, ?"
283,IQ,"次の数列で?に入る数字はどれですか？
3, 4, 7, 11, 18, ?"
284,IQ,"次の数列で?に入る数字はどれですか？
5, 11, 23, 47, 95, ?"
285,IQ,"次の数列で?に入る数字はどれですか？
144, 121, 100, 81, 64, ?"
286,IQ,"次の数列で?に入る数字はどれですか？
2, 5, 11, 23, 47, ?"
287,IQ,"次の数列で?に入る数字はどれですか？
1, 2, 6, 24, 120, ?"
288,IQ,"次の数列で?に入る数字はどれですか？
0, 3, 8, 15, 24, ?"
289,IQ,"次の数列で?に入る数字はどれですか？
7, 14, 28, 56, 112, ?"
290,IQ,"次の数列で?に入る数字はどれですか？
1, 5, 14, 30, 55, ?"
291,IQ,"次の数列で?に入る数字はどれですか？
81, 27, 9, 3, ?"
292,IQ,"次の数列で?に入る数字はどれですか？
2, 8, 18, 32, 50, ?"
293,IQ,"次の数列で?に入る数字はどれですか？
1, 3, 4, 7, 11, 18, ?"
294,IQ,"次の数列で?に入る数字はどれですか？
6, 12, 24, 48, 96, ?"
295,IQ,"次の数列で?に入る数字はどれですか？
1, 8, 27, 64, 125, 216, ?"
296,IQ,"3人の囚人A,B,Cがいる。看守が「少なくとも1人は処刑される」と言った。Aは「Bが処刑される」と知らされた。Aの処刑確率は？"
297,IQ,5人が競争した。太郎は花子より速い。次郎は太郎より速い。三郎は全員より遅い。四郎は次郎より遅い。2位は誰？
298,IQ,AかBかCのうち1人だけ真実を言う。A「Bは嘘つき」B「Cは嘘つき」C「Aは正直者」。真実を言っているのは？
299,IQ,100人の村で、全員が帽子を被っている。赤50人、青50人。自分の色は見えない。全員が同時に予想。何人正解する？
300,IQ,3つのドアの1つに賞品。選んだ後、ホストが外れを1つ開ける。変更すべきか？
301,IQ,2人が数字を額に貼られる。2人の和か差が25と知らされる。A「20」B「?」。Bは自分の数字がわかる？
302,IQ,赤い帽子3個、青い帽子2個。3人に見えないよう被せる。各人は他の2人の帽子を見て自分の色を推理。全員が推理できない場合、何色？
303,IQ,100階建てのビルから卵を落とす。何階から割れるか調べる。卵2個。最小の試行回数で調べる最適戦略は？
304,IQ,島に赤目と青目の人がいる。赤目は青目の数を知っている。ある日、外来者が「少なくとも1人は赤目」と言った。何が起こる？
305,IQ,10人が円形に座る。隣同士は握手しない。最大何組が握手できる？
306,IQ,"A,B,C,Dが一列に並ぶ。AとBは隣り合わない。何通り？"
307,IQ,正直者と嘘つきの村。ある人に「あなたは正直者？」と聞くと「はい」。何者？
308,IQ,3人で100個の石を取り合うゲーム。順番に1-3個取る。最後を取った人が負け。先手必勝？
309,IQ,5個のコインがある。1個だけ偽物（軽い）。天秤2回で見つけられる？
310,IQ,8人が円卓に座る。男女交互に座る。男4人女4人。何通り？
311,IQ,「成功：失敗」の関係と最も近いものはどれですか？
312,IQ,「鳥：羽」「魚：？」。?に入るものは？
313,IQ,次の単語の関係：「高い：低い」「速い：？」
314,IQ,「医師：診察」「教師：？」
315,IQ,「東京：日本」「パリ：？」
316,IQ,"次のうち他と性質が異なるものは？
正方形、長方形、円、三角形"
317,IQ,「始まり：終わり」「誕生：？」
318,IQ,「種：植物」「卵：？」
319,IQ,「熱い：冷たい」「濡れている：？」
320,IQ,「分子：原子」「文：？」
321,IQ,パターン：1個、3個、5個、7個...次は？
322,IQ,○●○●●○●●●...のパターン。10番目は？
323,IQ,正六角形を1個、2個、3個...と並べる。5番目の辺の総数は？
324,IQ,△が1つ、次に△4つ（逆さま含む）、次は？
325,IQ,時計の長針が1時間で回る角度は？
326,IQ,立方体の展開図。向かい合う面の数の和が7。1の向かいは？
327,IQ,円を5等分する線を引く。何本必要？
328,IQ,正方形を対角線で切ると何個の三角形？
329,IQ,○○●●○○●●...のパターン。16番目は？
330,IQ,1辺が1cmの正方形を1個、4個、9個...と並べる。5番目の周囲の長さは？
331,IQ,立方体を真上から見たとき、見える面は何個ですか？
332,IQ,立方体の頂点の数はいくつですか？
333,IQ,立方体を斜めの平面で切断したとき、断面の形で不可能なものは？
334,IQ,正方形を1回折って切り、開くと十字になった。どう折った？
335,IQ,立方体の辺の数はいくつですか？
336,IQ,紙を半分に折り、さらに半分に折った。全部で何重？
337,IQ,時計の長針と短針が1日に重なる回数は？（0時を含む）
338,IQ,正三角形を3つの合同な図形に分割する最も単純な方法は？
339,IQ,立方体のサイコロで、1の反対面が6のとき、2の反対面は？（隣接面の和が7）
340,IQ,正方形の紙を対角線で2回折ると何個の層ができる？
341,IQ,"6面体のサイコロで、1,2,3が見える角度から見たとき、見えない面の目の合計は？"
342,IQ,円を中心を通る直線で4等分するには何本の線が必要？
343,IQ,立方体を頂点を通る平面で切断したとき、最大で何角形の断面ができる？
344,IQ,正方形を1回折ってハサミで1回切り、開いたら2つの穴ができた。どう切った？
345,IQ,球を真横から見た形は？
346,IQ,"アルファベットのパターン：A, C, E, G, ?。次は？"
347,IQ,曜日のパターン：月、水、金、?。次は？
348,IQ,色の順序：赤、橙、黄、?。次は？
349,IQ,季節のパターン：春、夏、秋、?、春。?は？
350,IQ,月の大小：1月(31)、2月(28)、3月(31)、4月(?)。4月は？
351,IQ,五十音のパターン：あ、か、さ、?。次は？
352,IQ,音階：ド、レ、ミ、ファ、?。次は？
353,IQ,方角：北、東、南、?。次は？
354,IQ,"トランプの順：A, 2, 3, ..., J, Q, ?。次は？"
355,IQ,"ローマ数字：I, II, III, IV, ?。次は？"
356,IQ,"次の数列で?に入る数字：11, 13, 17, 19, 23, ?"
357,IQ,"次の数列で?に入る数字：1, 11, 21, 1211, 111221, ?"
358,IQ,"次の数列で?に入る数字：1, 10, 100, 1000, ?"
359,IQ,"次の数列で?に入る数字：2, 12, 36, 80, 150, ?"
360,IQ,"次の数列で?に入る数字：1, 1, 2, 6, 24, ?"
361,IQ,"次の数列で?に入る数字：1, 4, 27, 256, ?"
362,IQ,"次の数列で?に入る数字：0, 1, 4, 9, 16, 25, ?"
363,IQ,"次の数列で?に入る数字：2, 4, 16, 256, ?"
364,IQ,"次の数列で?に入る数字：1, 3, 6, 10, 15, ?"
365,IQ,"次の数列で?に入る数字：1, 2, 2, 4, 8, 32, ?"
366,IQ,"次の数列で?に入る数字：0, 1, 3, 6, 10, 15, 21, ?"
367,IQ,"次の数列で?に入る数字：1, -1, 2, -2, 3, -3, ?"
368,IQ,"次の数列で?に入る数字：1, 3, 7, 15, 31, 63, ?"
369,IQ,"次の数列で?に入る数字：1, 2, 4, 8, 16, 32, ?"
370,IQ,"次の数列で?に入る数字：100, 121, 144, 169, 196, ?"
371,IQ,100人が赤か青の帽子を被る。全員同時に予想し、1人でも正解すれば全員解放。戦略は？
372,IQ,3人の賢者に白黒帽子。各自は他の2人の帽子を見て自分の色を推理。全員が推理できなければ全員賢者。帽子が白3黒2で全員白なら？
373,IQ,無限ホテルに無限人の客。各部屋に1人ずつ。無限人の新客が来た。全員泊められる？
374,IQ,1000本のワインのうち1本だけ毒入り。飲んで24時間後に死ぬ。10匹のネズミで24時間以内に特定できる？
375,IQ,2つの砂時計（7分、11分）で15分を計る方法は？
376,IQ,12個の球、1個だけ重さが異なる（重いか軽いか不明）。天秤3回で特定できる？
377,IQ,100人の囚人と100個の箱。各箱に1人の名前。各囚人は50個まで開けられる。全員が自分の名前を見つければ全員解放。確率30%以上の戦略は？
378,IQ,赤青緑の帽子が各1つ以上。3人に被せる。各自は他の2人の帽子を見る。全員同時に「分からない」と言う。その後、1人が「分かった」と言う。可能？
379,IQ,島に100人の論理学者。赤目と青目がいる。自分の目の色は知らない。赤目が見えたら翌日出航。全員赤目なら何日後に全員出航？
380,IQ,2人のプレイヤーが整数を選ぶ。大きい方が勝ち。各自は相手より1大きい数を選ぶのが最適。均衡解は？
381,IQ,ある数の3倍に5を足すと26。ある数は？
382,IQ,50円、100円、500円玉で合計1000円。硬貨は10枚。50円玉は何枚？（100円玉と500円玉は同数）
383,IQ,1から100までの整数の和は？
384,IQ,正方形の一辺を2倍にすると面積は何倍？
385,IQ,時速60kmで走る車が150km進むのに何時間？
386,IQ,3人で食事して合計3600円。2人は1200円ずつ払った。残りの人は？
387,IQ,長さ100mのロープを毎日10mずつ切る。何日で全部切れる？
388,IQ,1辺10cmの立方体の体積は？
389,IQ,20%引きで800円の商品の元値は？
390,IQ,円周率を3.14として、半径10cmの円の面積は？
391,IQ,5%の食塩水200gに含まれる食塩は何g？
392,IQ,72を素因数分解すると？
393,IQ,1時間に5%ずつ増える細菌。2時間後の量は最初の何倍？
394,IQ,三角形の内角の和は？
395,IQ,10進数の100は2進数で？
396,IQ,「山」の反対語として最も適切なものは？
397,IQ,アナグラム：LISTEN → ?（英単語）
398,IQ,"次の暗号を解読：A=1, B=2, C=3...として、「CAT」の合計値は？"
399,IQ,回文：「上から読んでも下から読んでも同じ」でないものは？
400,IQ,「木」を3つ組み合わせてできる漢字は？
401,IQ,シーザー暗号で3文字ずらすと「D」になる文字は？
402,IQ,反対から読むと別の意味：「竹」→「？」
403,IQ,同音異義語：「かがく」でないものは？
404,IQ,「犬」「猫」「鳥」の共通部首は？
405,IQ,英語のことわざ：Time is ?
406,IQ,次の並べ替えで意味のある単語：ODGO
407,IQ,「海」と「山」の共通の訓読みは？
408,IQ,しりとり：「りんご」→「ごりら」→「らっぱ」→？
409,IQ,カタカナ語の由来：「アルバイト」の語源は？
410,IQ,漢字の成り立ち：「明」は何と何の組み合わせ？
411,IQ,正三角形の内角の大きさは？
412,IQ,円の直径が2倍になると面積は何倍？
413,IQ,正方形の対角線の長さは一辺の何倍？
414,IQ,正六角形の内角の和は？
415,IQ,半径5cmの円の円周の長さは？（π=3.14）
416,IQ,立方体の面の数は？
417,IQ,二等辺三角形の底角が70度のとき、頂角は？
418,IQ,正方形を対角線で切った図形は？
419,IQ,円錐の底面が円で頂点が1つ。辺の数は？
420,IQ,平行四辺形の対角線は互いに何する？
421,IQ,コインを2回投げる。表が2回出る確率は？
422,IQ,6面サイコロで偶数が出る確率は？
423,IQ,赤玉3個、白玉2個の袋から1個取る。赤の確率は？
424,IQ,52枚のトランプからハートを引く確率は？
425,IQ,2つのサイコロの目の和が7になる確率は？
426,IQ,AとBが独立に試験を受ける。A合格80%、B合格70%。両方合格する確率は？
427,IQ,平均が50点、標準偏差が10点のテストで60点は平均より何SD上？
428,IQ,5人から2人を選ぶ組み合わせは何通り？
