グループID,重複数,言語,ID,問題文
43,2,Java,1587,"throwsキーワードの役割は？"
43,2,Swift,2253,"throwsキーワードの役割は？"
44,2,Java,1588,"カスタム例外の作成方法は？"
44,2,C#,1703,"カスタム例外の作成方法は？"
45,2,Java,1591,"ジェネリクスの用途は？"
45,2,C#,1678,"ジェネリクスの用途は？"
46,2,Java,1596,"ラムダ式の構文は？"
46,2,C#,1673,"ラムダ式の構文は？"
47,2,C#,1661,"abstract クラスの特徴は？"
47,2,TypeScript,1785,"abstractクラスの特徴は？"
48,2,TypeScript,1774,"型アサーションの記述は？"
48,2,Go,1859,"型アサーションの記述は？"
49,2,Go,1844,"スライスの作成方法は？"
49,2,Rust,2039,"スライスの作成方法は？"
50,2,Go,1880,"panicの用途は？"
50,2,Rust,2052,"panic!の用途は？"
51,2,Ruby,1907,"ブロック引数の記述は？"
51,2,Ruby,1934,"ブロック引数の記述は？"
52,2,Ruby,1921,"継承の記述方法は？"
52,2,Kotlin,2129,"継承の記述方法は？"
53,2,VBA,1961,"Stepキーワードの役割は？"
53,2,Kotlin,2111,"stepキーワードの役割は？"
54,2,Rust,2028,"タプルの定義は？"
54,2,Swift,2187,"タプルの定義は？"
55,2,Rust,2042,"構造体の定義方法は？"
55,2,Swift,2222,"構造体の定義方法は？"
56,2,Rust,2047,"列挙型の定義は？"
56,2,Swift,2245,"列挙型の定義は？"
57,2,Rust,2061,"where句の用途は？"
57,2,Swift,2200,"where句の用途は？"
58,2,Rust,2077,"クロージャの基本記法は？"
58,2,Swift,2208,"クロージャの基本記法は？"
59,2,Kotlin,2148,"flatMapの用途は？"
59,2,Swift,2220,"flatMapの用途は？"
60,2,Kotlin,2149,"reduceメソッドの役割は？"
60,2,Swift,2218,"reduceメソッドの役割は？"
61,2,Swift,2256,"try?の効果は？"
61,2,Swift,2257,"try!の効果は？"
